iter	RMSE
0	116.829271
1	116.4471194
2	116.1014627
3	115.7872408
4	115.4901678
5	115.249002
6	114.9814819
7	114.7343074
8	114.5255116
9	114.3504403
10	114.1826668
11	114.0146464
12	113.8154515
13	113.6245828
14	113.4708352
15	113.3244884
16	113.1672323
17	113.0238633
18	112.9110599
19	112.7600843
20	112.6196156
21	112.5220629
22	112.4144941
23	112.3187903
24	112.2261981
25	112.1339689
26	112.0519947
27	111.9685187
28	111.9029084
29	111.8325857
30	111.7856989
31	111.7267595
32	111.6413508
33	111.594521
34	111.5097164
35	111.43383
36	111.3832988
37	111.3019075
38	111.2421222
39	111.1857302
40	111.1173663
41	111.0351562
42	110.9790309
43	110.8998315
44	110.8329393
45	110.7774604
46	110.7243854
47	110.6684928
48	110.6262168
49	110.5731573
50	110.5341384
51	110.4598726
52	110.4277051
53	110.3852265
54	110.336378
55	110.2315599
56	110.1945433
57	110.1394815
58	110.0738198
59	110.0352494
60	109.9631144
61	109.9306932
62	109.9068646
63	109.8749379
64	109.8420435
65	109.8259645
66	109.7664767
67	109.7279126
68	109.6660851
69	109.6052222
70	109.5789644
71	109.5390303
72	109.5062371
73	109.477457
74	109.4050664
75	109.3896956
76	109.3220983
77	109.2730672
78	109.2339649
79	109.1994311
80	109.172434
81	109.1090139
82	109.0626451
83	109.0137005
84	108.9734925
85	108.9266085
86	108.8711865
87	108.8527094
88	108.8214682
89	108.7920521
90	108.7603599
91	108.7080018
92	108.6652389
93	108.6412837
94	108.5961747
95	108.5775305
96	108.5585719
97	108.5128291
98	108.4829024
99	108.4718886
100	108.4377268
101	108.4182293
102	108.4059918
103	108.3735589
104	108.3469499
105	108.2827247
106	108.2576509
107	108.2188943
108	108.173028
109	108.1536374
110	108.1414799
111	108.1155733
112	108.1002103
113	108.0613976
114	108.0267775
115	108.0024837
116	107.9713775
117	107.9166753
118	107.8875205
119	107.8801853
120	107.8519512
121	107.8374373
122	107.8243781
123	107.8119674
124	107.7963941
125	107.7847704
126	107.7685685
127	107.7114563
128	107.6772414
129	107.6704438
130	107.6595648
131	107.6381397
132	107.6230315
133	107.5950653
134	107.5838662
135	107.5600503
136	107.5458425
137	107.5253274
138	107.4902823
139	107.4644594
140	107.4247875
141	107.4221433
142	107.4091033
143	107.3908515
144	107.3723156
145	107.3558284
146	107.3347021
147	107.3029202
148	107.2795965
149	107.232693
150	107.2019067
151	107.1893757
152	107.1653399
153	107.1449519
154	107.137707
155	107.0938737
156	107.04828
157	107.0225057
158	106.9833735
159	106.9596143
160	106.9310531
161	106.9158814
162	106.9009274
163	106.8861269
164	106.8837488
165	106.8577165
166	106.8310616
167	106.7939137
168	106.7644502
169	106.717169
170	106.688259
171	106.6707675
172	106.6588381
173	106.6253802
174	106.6084771
175	106.5702931
176	106.5530315
177	106.5334952
178	106.5020935
179	106.4944216
180	106.4875117
181	106.4605633
182	106.4309031
183	106.4247748
184	106.4013727
185	106.388041
186	106.3737776
187	106.352894
188	106.3377911
189	106.2896036
190	106.289129
191	106.2452377
192	106.2108388
193	106.2061596
194	106.1917014
195	106.1862902
196	106.160177
197	106.1389211
198	106.1360048
199	106.1256596
200	106.1051541
201	106.0685387
202	106.055437
203	106.0335405
204	106.0050069
205	105.9686033
206	105.9430625
207	105.9311187
208	105.9209739
209	105.8642388
210	105.8469187
211	105.8314564
212	105.7714296
213	105.7448379
214	105.7286186
215	105.7006565
216	105.6621998
217	105.6546369
218	105.6486657
219	105.6085289
220	105.5839663
221	105.5558771
222	105.5365211
223	105.5204843
224	105.5062687
225	105.48182
226	105.4687513
227	105.4503168
228	105.4315006
229	105.4260185
230	105.3926907
231	105.3835451
232	105.3655729
233	105.3430563
234	105.3233304
235	105.3132156
236	105.2980403
237	105.2800499
238	105.2557037
239	105.2245793
240	105.2017987
241	105.1842739
242	105.1451779
243	105.1208707
244	105.0897844
245	105.0614172
246	105.0495575
247	105.0155545
248	104.9973727
249	104.9797767
250	104.971011
251	104.9544366
252	104.9414129
253	104.9212381
254	104.8982428
255	104.8793782
256	104.8686682
257	104.8618296
258	104.8405434
259	104.8319787
260	104.8275134
261	104.8090197
262	104.799385
263	104.7722786
264	104.759088
265	104.7505516
266	104.7312945
