iter	Passed	Remaining
0	51	36231
1	99	34707
2	148	34565
3	206	35884
4	264	36763
5	309	35754
6	359	35605
7	431	37337
8	510	39173
9	566	39085
10	625	39148
11	680	39004
12	726	38384
13	775	38009
14	820	37476
15	874	37386
16	939	37760
17	998	37820
18	1046	37516
19	1091	37108
20	1148	37126
21	1197	36890
22	1240	36512
23	1296	36517
24	1350	36464
25	1411	36586
26	1470	36658
27	1527	36651
28	1573	36412
29	1625	36312
30	1673	36119
31	1727	36054
32	1776	35905
33	1829	35832
34	1884	35798
35	1926	35528
36	1981	35504
37	2025	35282
38	2070	35098
39	2123	35038
40	2167	34836
41	2215	34703
42	2259	34525
43	2311	34456
44	2358	34327
45	2406	34213
46	2463	34231
47	2513	34145
48	2571	34162
49	2628	34176
50	2682	34137
51	2744	34194
52	2800	34186
53	2849	34087
54	2932	34390
55	3032	34879
56	3093	34897
57	3149	34866
58	3208	34858
59	3262	34796
60	3317	34752
61	3380	34785
62	3428	34664
63	3474	34527
64	3536	34550
65	3591	34501
66	3646	34447
67	3702	34409
68	3750	34294
69	3795	34159
70	3858	34187
71	3917	34171
72	3965	34061
73	4023	34036
74	4071	33926
75	4126	33883
76	4185	33867
77	4243	33841
78	4312	33899
79	4369	33861
80	4433	33876
81	4497	33896
82	4557	33882
83	4610	33809
84	4673	33810
85	4738	33833
86	4788	33742
87	4851	33742
88	5002	34343
89	5088	34491
90	5173	34619
91	5281	34902
92	5381	35127
93	5490	35396
94	5624	35818
95	5701	35869
96	5796	36036
97	5949	36544
98	6064	36814
99	6140	36842
100	6208	36817
101	6285	36851
102	6366	36901
103	6437	36889
104	6522	36959
105	6575	36848
106	6631	36751
107	6684	36641
108	6747	36582
109	6803	36489
110	6866	36435
111	6931	36387
112	6997	36347
113	7068	36332
114	7132	36281
115	7242	36460
116	7317	36463
117	7384	36421
118	7432	36288
119	7490	36202
120	7552	36140
121	7610	36054
122	7667	35967
123	7728	35902
124	7802	35893
125	7871	35857
126	7940	35825
127	8010	35796
128	8065	35700
129	8122	35616
130	8176	35512
131	8233	35429
132	8297	35373
133	8354	35287
134	8415	35221
135	8474	35145
136	8554	35156
137	8714	35488
138	8814	35574
139	8939	35758
140	9083	36010
141	9131	35884
142	9204	35851
143	9266	35777
144	9340	35752
145	9416	35730
146	9485	35684
147	9564	35674
148	9644	35665
149	9708	35598
150	9773	35532
151	9876	35605
152	9934	35516
153	9991	35422
154	10049	35336
155	10124	35304
156	10184	35222
157	10257	35187
158	10330	35148
159	10414	35148
160	10478	35081
161	10551	35041
162	10604	34937
163	10669	34871
164	10705	34712
165	10793	34719
166	10897	34779
167	10959	34706
168	11021	34628
169	11066	34500
170	11121	34405
171	11180	34320
172	11230	34210
173	11292	34137
174	11349	34049
175	11431	34033
176	11511	34013
177	11576	33948
178	11644	33892
179	11713	33837
180	11811	33868
181	11899	33868
182	11978	33841
183	12054	33805
184	12148	33819
185	12211	33746
186	12266	33651
187	12324	33564
188	12393	33509
189	12454	33431
190	12485	33273
191	12542	33184
192	12594	33083
193	12646	32986
194	12715	32930
195	12781	32865
196	12854	32822
197	12918	32753
198	12985	32692
199	13040	32602
200	13111	32551
201	13171	32472
202	13236	32406
203	13300	32339
204	13374	32294
205	13430	32206
206	13487	32122
207	13549	32049
208	13623	32005
209	13683	31929
210	13734	31830
211	13795	31755
212	13845	31655
213	13911	31594
214	13966	31505
215	14017	31409
216	14082	31345
217	14151	31289
218	14230	31255
219	14282	31162
220	14342	31085
221	14394	30992
222	14448	30904
223	14507	30827
224	14566	30751
225	14635	30696
226	14744	30723
227	14912	30870
228	15007	30867
229	15083	30822
230	15191	30843
231	15261	30786
232	15339	30744
233	15397	30664
234	15467	30605
235	15550	30574
236	15643	30560
237	15709	30495
238	15797	30470
239	15852	30383
240	15919	30319
241	15982	30247
242	16037	30161
243	16097	30083
244	16148	29989
245	16204	29906
246	16262	29825
247	16323	29751
248	16386	29679
249	16434	29582
250	16508	29531
251	16570	29459
252	16627	29378
253	16678	29285
254	16732	29199
255	16786	29114
256	16893	29120
257	16945	29030
258	17027	28992
259	17099	28938
260	17158	28861
261	17225	28797
262	17283	28717
263	17343	28642
264	17392	28549
265	17451	28474
266	17517	28407
267	17582	28341
268	17649	28278
269	17720	28220
270	17783	28152
271	17858	28100
272	17925	28036
273	17967	27935
274	18032	27868
275	18092	27793
276	18147	27712
277	18192	27616
278	18252	27542
279	18309	27464
280	18361	27378
281	18411	27290
282	18456	27195
283	18520	27128
284	18569	27039
285	18619	26952
286	18675	26875
287	18737	26804
288	18799	26735
289	18853	26654
290	18911	26579
291	18957	26488
292	19016	26414
293	19058	26319
294	19119	26248
295	19163	26155
296	19211	26068
297	19265	25989
298	19325	25917
299	19386	25849
300	19436	25765
301	19496	25693
302	19545	25608
303	19590	25518
304	19647	25445
305	19707	25375
306	19775	25314
307	19824	25231
308	19878	25153
309	19927	25070
310	19991	25006
311	20043	24925
312	20091	24841
313	20170	24796
314	20229	24724
315	20281	24645
316	20334	24568
317	20394	24499
318	20457	24433
319	20511	24357
320	20560	24275
321	20612	24197
322	20668	24124
323	20715	24040
324	20764	23958
325	20821	23886
326	20873	23809
327	20916	23722
328	20961	23637
329	21020	23568
330	21071	23490
331	21120	23410
332	21170	23332
333	21216	23248
334	21271	23176
335	21322	23099
336	21372	23021
337	21423	22944
338	21479	22873
339	21531	22797
340	21591	22731
341	21642	22655
342	21698	22583
343	21774	22533
344	21825	22457
345	21875	22381
346	21934	22313
347	21997	22249
348	22043	22170
349	22100	22100
350	22157	22031
351	22212	21959
352	22267	21888
353	22308	21804
354	22363	21733
355	22407	21651
356	22468	21587
357	22524	21517
358	22567	21436
359	22621	21364
360	22701	21317
361	22757	21248
362	22803	21169
363	22863	21104
364	22915	21032
365	22973	20964
366	23042	20907
367	23087	20828
368	23177	20790
369	23244	20731
370	23297	20660
371	23341	20581
372	23390	20505
373	23439	20431
374	23497	20364
375	23556	20298
376	23591	20212
377	23639	20136
378	23687	20062
379	23733	19985
380	23792	19921
381	23840	19846
382	23888	19771
383	23938	19699
384	23982	19621
385	24037	19553
386	24088	19482
387	24140	19411
388	24189	19339
389	24252	19277
390	24313	19214
391	24363	19142
392	24417	19073
393	24466	19002
394	24528	18939
395	24586	18874
396	24631	18799
397	24682	18728
398	24748	18669
399	24802	18601
400	24848	18528
401	24895	18454
402	24940	18380
403	24991	18310
404	25042	18240
405	25101	18177
406	25157	18110
407	25205	18039
408	25249	17964
409	25310	17902
